;LINHA;Poste_qtd;qtd_trafo;Ramal_servico_qtd;Ramal_servico_km;REDE_MT_KM
224;LDA PIRAQUE;77;5.0;9.0;135.0;2336.0
225;LDA PLINIO;337;42.0;2084.0;29520.0;4955.0
226;LDA POLINDO;558;49.0;2160.0;32461.0;9998.0
227;LDA POSSOLO;388;58.0;2512.0;33636.0;8317.0
228;LDA PRADO;276;24.0;205.0;2399.0;4543.0
229;LDA PROJAC;0;0.0;0.0;0.0;988.0
230;LDA RAMIDAN;494;67.0;2007.0;33557.0;8759.0
231;LDA RAVASCO;835;52.0;3315.0;48157.0;12394.0
232;LDA REALENGO;383;22.0;938.0;15741.0;8685.0
233;LDA REBOUCAS;103;4.0;61.0;390.0;1794.0
234;LDA RECORD;305;18.0;545.0;7691.0;8039.0
235;LDA RESERVA-ZIN;97;2.0;5.0;85.0;3148.0
236;LDA RIMARAES;282;37.0;647.0;7353.0;2797.0
237;LDA RIMOSA;407;31.0;1944.0;29088.0;7001.0
238;LDA RINEGRO;870;59.0;1635.0;24581.0;14778.0
239;LDA RIO 2;26;3.0;3.0;37.0;687.0
240;LDA RIOBRAN;299;43.0;1826.0;25752.0;4727.0
241;LDA RIODESIGN;0;7.0;19.0;422.0;1723.0
242;LDA RIOMORTO;1262;107.0;4063.0;64266.0;23901.0
243;LDA RIQUE;0;8.0;51.0;949.0;1985.0
244;LDA RISOL;127;25.0;1328.0;61159.0;2517.0
245;LDA RODOCENTER;100;24.0;132.0;2139.0;2006.0
246;LDA RODOSAN;755;50.0;2618.0;38310.0;13920.0
247;LDA RODOVIA V;0;49.0;410.0;5666.0;22360.0
248;LDA RODU;1636;147.0;1716.0;24777.0;56692.0
249;LDA ROVAL;594;52.0;2593.0;38127.0;8322.0
250;LDA ROVEIRA;221;35.0;862.0;12449.0;3728.0
251;LDA SABUGO;1128;144.0;2979.0;38639.0;55045.0
252;LDA SAFREIRE;969;51.0;2444.0;36584.0;17152.0
253;LDA SALVADOR;347;62.0;1150.0;14600.0;8423.0
254;LDA SALVALENDE;52;1.0;0.0;0.0;1226.0
255;LDA SANES;107;4.0;22.0;314.0;3518.0
256;LDA SANTAREM;0;171.0;418.0;5686.0;79783.0
257;LDA SANTAREM / SERV.;86;0.0;0.0;0.0;3528.0
258;LDA SANTARI;193;22.0;88.0;1071.0;2703.0
259;LDA SARTRE;107;12.0;20.0;334.0;4309.0
260;LDA SAVAGET;478;56.0;1209.0;666025.0;8124.0
261;LDA SAVEIRO;317;28.0;1573.0;23444.0;4853.0
262;LDA SERNAMBI;310;45.0;544.0;9866.0;7043.0
263;LDA SEROPE;955;51.0;1746.0;1328363.0;22762.0
264;LDA SERVIDAO;0;99.0;143.0;1394.0;38239.0
265;LDA SESC;362;40.0;1695.0;26288.0;6605.0
266;LDA SILVINO;338;42.0;1070.0;21635.0;2783.0
267;LDA SIQUEIRA;366;51.0;659.0;11256.0;4017.0
268;LDA SOMBREIRA;928;78.0;2256.0;31947.0;19215.0
269;LDA TABOLEIRO;1530;134.0;1592.0;55618.0;55241.0
270;LDA TAMARATI;0;23.0;297.0;4879.0;2770.0
271;LDA TAMOIO IV;0;91.0;7431.0;410516.0;15940.0
272;LDA TARQUINO;484;48.0;2513.0;92284.0;7514.0
273;LDA TELES;395;54.0;1239.0;45420.0;5562.0
274;LDA THOMAZ;533;53.0;3765.0;56611.0;9589.0
275;LDA TIMORAPA;81;11.0;42.0;463.0;1662.0
276;LDA TINDIBA;330;53.0;1469.0;23586.0;5160.0
277;LDA TINGUA IV;416;43.0;414.0;6598.0;15751.0
278;LDA TOPSHOPPING;23;0.0;0.0;0.0;648.0
279;LDA TRABALHADOR;234;17.0;750.0;23531.0;5037.0
280;LDA TULIPA;558;80.0;2438.0;736169.0;7714.0
281;LDA TURVANIA;402;45.0;2025.0;27293.0;5272.0
282;LDA UNIVERAL;869;52.0;589.0;7650.0;24707.0
283;LDA URUCANGA;642;91.0;1877.0;134740.0;10742.0
284;LDA URUTELES;194;28.0;434.0;13549.0;2006.0
285;LDA USINA;640;85.0;518.0;25181.0;39539.0
286;LDA VADAN;797;78.0;3556.0;484129.0;11200.0
287;LDA VALENTIM;597;65.0;2749.0;127178.0;8936.0
288;LDA VEREMAR;597;43.0;1692.0;24301.0;11453.0
289;LDA VESPA;1189;97.0;5461.0;76134.0;17476.0
290;LDA VICINAL;911;106.0;338.0;4199.0;46123.0
